,tournamentId,name,year,month,displayDate,dateAccessibilityText,display,status,champions,championEarnings,courseData,logo,beautyImageAsset,ticketing,purse,standings,networks,useTournamentSiteUrl,season_year,tournamentSiteUrl,tournamentCategoryInfo
20,R2012480,Wells Fargo Championship,2012,May,May 3 - 6,May 3rd through May 6th,SHOW,COMPLETED,"[{'displayName': 'Rickie Fowler', 'playerId': '32102'}]","$1,170,000","{'name': 'Quail Hollow Club', 'city': 'Charlotte', 'stateCode': 'NC', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r480/698/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$6,500,000","{'heading': 'FEDEXCUP', 'value': '500 pts'}",[],False,2012,,
21,R2012011,THE PLAYERS Championship,2012,May,May 10 - 13,May 10th through May 13th,SHOW,COMPLETED,"[{'displayName': 'Matt Kuchar', 'playerId': '23108'}]","$1,710,000","{'name': 'TPC Sawgrass (THE PLAYERS Stadium Course)', 'city': 'Ponte Vedra Beach', 'stateCode': 'FL', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r011/011/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$9,500,000","{'heading': 'FEDEXCUP', 'value': '600 pts'}",[],False,2012,,
22,R2012019,HP Byron Nelson Championship,2012,May,May 17 - 20,May 17th through May 20th,SHOW,COMPLETED,"[{'displayName': 'Jason Dufner', 'playerId': '25686'}]","$1,170,000","{'name': 'TPC Four Seasons Resort', 'city': 'Irving', 'stateCode': 'TX', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r019/019/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$6,500,000","{'heading': 'FEDEXCUP', 'value': '500 pts'}",[],False,2012,,
23,R2012021,Crowne Plaza Invitational at Colonial,2012,May,May 24 - 27,May 24th through May 27th,SHOW,COMPLETED,"[{'displayName': 'Zach Johnson', 'playerId': '24024'}]","$1,152,000","{'name': 'Colonial Country Club', 'city': 'Fort Worth', 'stateCode': 'TX', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r021/021/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$6,400,000","{'heading': 'FEDEXCUP', 'value': '500 pts'}",[],False,2012,,
24,R2012023,the Memorial Tournament presented by Nationwide Insurance,2012,May,May 31 - Jun 3,May 31st through June 3rd,SHOW,COMPLETED,"[{'displayName': 'Tiger Woods', 'playerId': '08793'}]","$1,116,000","{'name': 'Muirfield Village Golf Club', 'city': 'Dublin', 'stateCode': 'OH', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r023/023/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$6,200,000","{'heading': 'FEDEXCUP', 'value': '500 pts'}",[],False,2012,,
25,R2012025,FedEx St. Jude Classic,2012,June,Jun 7 - 10,June 7th through June 10th,SHOW,COMPLETED,"[{'displayName': 'Dustin Johnson', 'playerId': '30925'}]","$1,008,000","{'name': 'TPC Southwind', 'city': 'Memphis', 'stateCode': 'TN', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r025/513/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$5,600,000","{'heading': 'FEDEXCUP', 'value': '500 pts'}",[],False,2012,,
26,R2012026,U.S. Open,2012,June,Jun 14 - 17,June 14th through June 17th,SHOW,COMPLETED,"[{'displayName': 'Webb Simpson', 'playerId': '29221'}]","$1,440,000","{'name': 'The Olympic Club', 'city': 'San Francisco', 'stateCode': 'CA', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r026/651/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$8,000,000","{'heading': 'FEDEXCUP', 'value': '600 pts'}",[],False,2012,,
27,R2012486,CVS Caremark Charity Classic,2012,June,Jun 18 - 19,June 18th through June 19th,SHOW,COMPLETED,"[{'displayName': 'Jay Haas', 'playerId': '01457'}, {'displayName': 'Morgan Pressel', 'playerId': '31552'}]","$150,000","{'name': 'Rhode Island CC', 'city': 'Barrington', 'stateCode': 'RI', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r486/755/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$1,300,000",,[],False,2012,,
28,R2012034,Travelers Championship,2012,June,Jun 21 - 24,June 21st through June 24th,SHOW,COMPLETED,"[{'displayName': 'Marc Leishman', 'playerId': '26851'}]","$1,080,000","{'name': 'TPC River Highlands', 'city': 'Cromwell', 'stateCode': 'CT', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r034/503/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$6,000,000","{'heading': 'FEDEXCUP', 'value': '500 pts'}",[],False,2012,,
29,R2012471,AT&T National,2012,June,Jun 28 - Jul 1,June 28th through July 1st,SHOW,COMPLETED,"[{'displayName': 'Tiger Woods', 'playerId': '08793'}]","$1,170,000","{'name': 'Congressional CC (Blue)', 'city': 'Bethesda', 'stateCode': 'MD', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r471/024/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$6,500,000","{'heading': 'FEDEXCUP', 'value': '500 pts'}",[],False,2012,,
